dataset,shot,shot_label,backbone,method,method_variant,seed,cache_entries,trainable_params,training_time_sec,inference_time_sec,images_per_second,gpu_memory_mb,num_prototypes_per_class,prototype_init,run_dir,metrics_json_path,preflight_report_path
eurosat,,zero_shot,remoteclip_vit_b32,zero_shot,zero_shot,1,10,0,0.0,3.049597067758441,3541.4514639267977,,,,results/raw/eurosat/remoteclip_vit_b32/zero_shot/seed_1/20260518T015034_f59d27c9,results/raw/eurosat/remoteclip_vit_b32/zero_shot/seed_1/20260518T015034_f59d27c9/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_001_zero_shot_seed1_shotNone/eurosat_remoteclip_vit_b32_zero_shot_seed1/20260518T022058/result_run_preflight_report.json
eurosat,1,1,remoteclip_vit_b32,tip_adapter,tip_adapter,1,10,0,0.0,6.169653065502644,1750.5036158982336,,,,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T015043_72b93509,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T015043_72b93509/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_002_tip_adapter_seed1_shot1/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022100/result_run_preflight_report.json
eurosat,2,2,remoteclip_vit_b32,tip_adapter,tip_adapter,1,20,0,0.0,8.196315940469503,1317.6651654769364,,,,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T015054_ee174669,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T015054_ee174669/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_003_tip_adapter_seed1_shot2/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022101/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,tip_adapter,tip_adapter,1,40,0,0.0,12.348161771893501,874.6241100098496,,,,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T015109_5f31e42f,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T015109_5f31e42f/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_004_tip_adapter_seed1_shot4/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022103/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,tip_adapter,tip_adapter,1,80,0,0.0,20.893640717491508,516.9036907463702,,,,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T015133_06f31ed0,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T015133_06f31ed0/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_005_tip_adapter_seed1_shot8/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022104/result_run_preflight_report.json
eurosat,16,16,remoteclip_vit_b32,tip_adapter,tip_adapter,1,160,0,0.0,37.421792371198535,288.60188985261317,,,,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T015213_5f991925,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T015213_5f991925/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_006_tip_adapter_seed1_shot16/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022105/result_run_preflight_report.json
eurosat,1,1,remoteclip_vit_b32,proto_adapter,proto_adapter,1,10,0,0.0,6.184855056926608,1746.200986214665,,,,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T015222_cde6535c,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T015222_cde6535c/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_007_proto_adapter_seed1_shot1/eurosat_remoteclip_vit_b32_proto_adapter_seed1/20260518T022107/result_run_preflight_report.json
eurosat,2,2,remoteclip_vit_b32,proto_adapter,proto_adapter,1,10,0,0.0,6.3275925777852535,1706.8102706100829,,,,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_2/seed_1/20260518T015232_a68e0170,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_2/seed_1/20260518T015232_a68e0170/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_008_proto_adapter_seed1_shot2/eurosat_remoteclip_vit_b32_proto_adapter_seed1/20260518T022108/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,proto_adapter,proto_adapter,1,10,0,0.0,6.417099911719561,1683.003248909362,,,,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_4/seed_1/20260518T015241_39ebe443,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_4/seed_1/20260518T015241_39ebe443/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_009_proto_adapter_seed1_shot4/eurosat_remoteclip_vit_b32_proto_adapter_seed1/20260518T022109/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,proto_adapter,proto_adapter,1,10,0,0.0,6.386322107166052,1691.1141998117175,,,,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_8/seed_1/20260518T015250_176baef7,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_8/seed_1/20260518T015250_176baef7/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_010_proto_adapter_seed1_shot8/eurosat_remoteclip_vit_b32_proto_adapter_seed1/20260518T022111/result_run_preflight_report.json
eurosat,16,16,remoteclip_vit_b32,proto_adapter,proto_adapter,1,10,0,0.0,6.273519452661276,1721.521720223336,,,,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_16/seed_1/20260518T015259_099bf872,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_16/seed_1/20260518T015259_099bf872/metrics.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_011_proto_adapter_seed1_shot16/eurosat_remoteclip_vit_b32_proto_adapter_seed1/20260518T022112/result_run_preflight_report.json
