dataset,shot,shot_label,backbone,method,method_variant,seed,top1_acc,top1_acc_source,num_prototypes_per_class,prototype_init,cache_entries,execution_env,run_mode,raw_metrics_is_paper_result,raw_metrics_eligible_for_paper_tables,run_dir,metrics_json_path,metadata_json_path,preflight_report_path
eurosat,,zero_shot,remoteclip_vit_b32,zero_shot,zero_shot,1,0.32611111111111113,top1_acc,,,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/zero_shot/seed_1/20260518T015034_f59d27c9,results/raw/eurosat/remoteclip_vit_b32/zero_shot/seed_1/20260518T015034_f59d27c9/metrics.json,results/raw/eurosat/remoteclip_vit_b32/zero_shot/seed_1/20260518T015034_f59d27c9/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_001_zero_shot_seed1_shotNone/eurosat_remoteclip_vit_b32_zero_shot_seed1/20260518T022058/result_run_preflight_report.json
eurosat,1,1,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.6061111111111112,top1_acc,,,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T015043_72b93509,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T015043_72b93509/metrics.json,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T015043_72b93509/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_002_tip_adapter_seed1_shot1/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022100/result_run_preflight_report.json
eurosat,2,2,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.7112962962962963,top1_acc,,,20,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T015054_ee174669,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T015054_ee174669/metrics.json,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T015054_ee174669/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_003_tip_adapter_seed1_shot2/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022101/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.7409259259259259,top1_acc,,,40,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T015109_5f31e42f,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T015109_5f31e42f/metrics.json,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T015109_5f31e42f/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_004_tip_adapter_seed1_shot4/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022103/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.7670370370370371,top1_acc,,,80,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T015133_06f31ed0,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T015133_06f31ed0/metrics.json,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T015133_06f31ed0/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_005_tip_adapter_seed1_shot8/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022104/result_run_preflight_report.json
eurosat,16,16,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.8062962962962963,top1_acc,,,160,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T015213_5f991925,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T015213_5f991925/metrics.json,results/raw/eurosat/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T015213_5f991925/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_006_tip_adapter_seed1_shot16/eurosat_remoteclip_vit_b32_tip_adapter_seed1/20260518T022105/result_run_preflight_report.json
eurosat,1,1,remoteclip_vit_b32,proto_adapter,proto_adapter,1,0.6114814814814815,top1_acc,,,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T015222_cde6535c,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T015222_cde6535c/metrics.json,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_1/seed_1/20260518T015222_cde6535c/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_007_proto_adapter_seed1_shot1/eurosat_remoteclip_vit_b32_proto_adapter_seed1/20260518T022107/result_run_preflight_report.json
eurosat,2,2,remoteclip_vit_b32,proto_adapter,proto_adapter,1,0.6762962962962963,top1_acc,,,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_2/seed_1/20260518T015232_a68e0170,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_2/seed_1/20260518T015232_a68e0170/metrics.json,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_2/seed_1/20260518T015232_a68e0170/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_008_proto_adapter_seed1_shot2/eurosat_remoteclip_vit_b32_proto_adapter_seed1/20260518T022108/result_run_preflight_report.json
eurosat,4,4,remoteclip_vit_b32,proto_adapter,proto_adapter,1,0.697962962962963,top1_acc,,,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_4/seed_1/20260518T015241_39ebe443,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_4/seed_1/20260518T015241_39ebe443/metrics.json,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_4/seed_1/20260518T015241_39ebe443/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_009_proto_adapter_seed1_shot4/eurosat_remoteclip_vit_b32_proto_adapter_seed1/20260518T022109/result_run_preflight_report.json
eurosat,8,8,remoteclip_vit_b32,proto_adapter,proto_adapter,1,0.7279629629629629,top1_acc,,,10,remote_server,server_full,False,False,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_8/seed_1/20260518T015250_176baef7,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_8/seed_1/20260518T015250_176baef7/metrics.json,results/raw/eurosat/remoteclip_vit_b32/proto_adapter/shot_8/seed_1/20260518T015250_176baef7/metadata.json,outputs/preflight/post_run_result/eurosat_remoteclip_vit_b32/full_matrix_20260518T022057Z/cmd_010_proto_adapter_seed1_shot8/eurosat_remoteclip_vit_b32_proto_adapter_seed1/20260518T022111/result_run_preflight_report.json
