dataset,shot,shot_label,backbone,method,method_variant,seed,cache_entries,trainable_params,training_time_sec,inference_time_sec,images_per_second,gpu_memory_mb,num_prototypes_per_class,prototype_init,run_dir,metrics_json_path,preflight_report_path
aid,,zero_shot,remoteclip_vit_b32,zero_shot,zero_shot,1,30,0,0.0,2.533776516560465,1578.6711945021475,,,,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_1/20260518T141359_b25abd9c,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_1/20260518T141359_b25abd9c/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_zero_shot_seed1_smoke_20260518T141359/aid_remoteclip_vit_b32_zero_shot_seed1/20260518T141532/result_run_preflight_report.json
aid,,zero_shot,remoteclip_vit_b32,zero_shot,zero_shot,2,30,0,0.0,2.6016824231483042,1537.4666655738818,,,,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_2/20260518T141605_24d795e1,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_2/20260518T141605_24d795e1/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_zero_shot_seed2_20260518T141605/aid_remoteclip_vit_b32_zero_shot_seed2/20260518T141626/result_run_preflight_report.json
aid,,zero_shot,remoteclip_vit_b32,zero_shot,zero_shot,3,30,0,0.0,2.4510355410166085,1631.9632796270805,,,,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_3/20260518T141650_c55894b4,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_3/20260518T141650_c55894b4/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_zero_shot_seed3_20260518T141650/aid_remoteclip_vit_b32_zero_shot_seed3/20260518T141718/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,tip_adapter,tip_adapter,1,30,0,0.0,5.372422153595835,744.5431288981537,,,,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T141910_cc54d089,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T141910_cc54d089/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot1_seed1_20260518T141910/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T141950/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,tip_adapter,tip_adapter,1,60,0,0.0,7.8412356418557465,510.12368237582257,,,,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T142024_d937c788,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T142024_d937c788/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot2_seed1_20260518T142024/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T142055/result_run_preflight_report.json
aid,4,4,remoteclip_vit_b32,tip_adapter,tip_adapter,1,120,0,0.0,12.767220292706043,313.30234054825655,,,,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T142127_4d49e26f,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T142127_4d49e26f/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot4_seed1_20260518T142127/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T142205/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,tip_adapter,tip_adapter,1,240,0,0.0,22.803426245227456,175.41223660795984,,,,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T142256_a1062381,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T142256_a1062381/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot8_seed1_20260518T142256/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T142319/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,tip_adapter,tip_adapter,1,480,0,0.0,40.83930827025324,97.94485189440738,,,,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T142425_a1c25935,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T142425_a1c25935/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot16_seed1_20260518T142425/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T142456/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,tip_adapter,tip_adapter,2,30,0,0.0,5.30562645662576,753.9166265662615,,,,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_2/20260518T142524_c704f26f,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_2/20260518T142524_c704f26f/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot1_seed2_20260518T142524/aid_remoteclip_vit_b32_tip_adapter_seed2/20260518T142545/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,tip_adapter,tip_adapter,2,60,0,0.0,7.599558162037283,526.346389449526,,,,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_2/20260518T142613_9e7fa182,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_2/20260518T142613_9e7fa182/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot2_seed2_20260518T142613/aid_remoteclip_vit_b32_tip_adapter_seed2/20260518T142631/result_run_preflight_report.json
