dataset,shot,shot_label,backbone,method,method_variant,seed,top1_acc,top1_acc_source,num_prototypes_per_class,prototype_init,cache_entries,execution_env,run_mode,raw_metrics_is_paper_result,raw_metrics_eligible_for_paper_tables,run_dir,metrics_json_path,metadata_json_path,preflight_report_path
aid,,zero_shot,remoteclip_vit_b32,zero_shot,zero_shot,1,0.8715,top1_acc,,,30,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_1/20260518T141359_b25abd9c,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_1/20260518T141359_b25abd9c/metrics.json,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_1/20260518T141359_b25abd9c/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_zero_shot_seed1_smoke_20260518T141359/aid_remoteclip_vit_b32_zero_shot_seed1/20260518T141532/result_run_preflight_report.json
aid,,zero_shot,remoteclip_vit_b32,zero_shot,zero_shot,2,0.861,top1_acc,,,30,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_2/20260518T141605_24d795e1,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_2/20260518T141605_24d795e1/metrics.json,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_2/20260518T141605_24d795e1/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_zero_shot_seed2_20260518T141605/aid_remoteclip_vit_b32_zero_shot_seed2/20260518T141626/result_run_preflight_report.json
aid,,zero_shot,remoteclip_vit_b32,zero_shot,zero_shot,3,0.8735,top1_acc,,,30,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_3/20260518T141650_c55894b4,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_3/20260518T141650_c55894b4/metrics.json,results/raw/aid/remoteclip_vit_b32/zero_shot/seed_3/20260518T141650_c55894b4/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_zero_shot_seed3_20260518T141650/aid_remoteclip_vit_b32_zero_shot_seed3/20260518T141718/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.838,top1_acc,,,30,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T141910_cc54d089,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T141910_cc54d089/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_1/20260518T141910_cc54d089/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot1_seed1_20260518T141910/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T141950/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.8865,top1_acc,,,60,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T142024_d937c788,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T142024_d937c788/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_1/20260518T142024_d937c788/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot2_seed1_20260518T142024/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T142055/result_run_preflight_report.json
aid,4,4,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.9055,top1_acc,,,120,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T142127_4d49e26f,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T142127_4d49e26f/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_4/seed_1/20260518T142127_4d49e26f/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot4_seed1_20260518T142127/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T142205/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.9115,top1_acc,,,240,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T142256_a1062381,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T142256_a1062381/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_8/seed_1/20260518T142256_a1062381/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot8_seed1_20260518T142256/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T142319/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,tip_adapter,tip_adapter,1,0.919,top1_acc,,,480,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T142425_a1c25935,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T142425_a1c25935/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_16/seed_1/20260518T142425_a1c25935/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot16_seed1_20260518T142425/aid_remoteclip_vit_b32_tip_adapter_seed1/20260518T142456/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,tip_adapter,tip_adapter,2,0.8435,top1_acc,,,30,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_2/20260518T142524_c704f26f,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_2/20260518T142524_c704f26f/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_1/seed_2/20260518T142524_c704f26f/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot1_seed2_20260518T142524/aid_remoteclip_vit_b32_tip_adapter_seed2/20260518T142545/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,tip_adapter,tip_adapter,2,0.8855,top1_acc,,,60,remote_server,server_full,False,False,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_2/20260518T142613_9e7fa182,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_2/20260518T142613_9e7fa182/metrics.json,results/raw/aid/remoteclip_vit_b32/tip_adapter/shot_2/seed_2/20260518T142613_9e7fa182/metadata.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_tip_adapter_shot2_seed2_20260518T142613/aid_remoteclip_vit_b32_tip_adapter_seed2/20260518T142631/result_run_preflight_report.json
