dataset,shot,shot_label,backbone,method,method_variant,seed,num_prototypes_per_class,prototype_init,cache_entries,compression_ratio,top1_acc,training_time_sec,inference_time_sec,images_per_second,gpu_memory_mb,rs_cpc_m_sources,prototype_init_sources,run_dir,metrics_json_path,preflight_report_path
aid,1,1,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,1,1,mean,30,1.0,0.822,0.0,5.008995377924293,798.5633242204315,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=mean; metadata.prototype_init=mean; run_dir.prototype_init=mean; command.--prototype-init=mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_1/20260518T145500_6e8d2807,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_1/20260518T145500_6e8d2807/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_mean_seed1_20260518T145500/aid_remoteclip_vit_b32_rs_cpc_seed1/20260518T145523/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,1,1,medoid,30,1.0,0.822,0.0,5.112893253099173,782.3359108026372,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_1/20260518T145557_3f3dfd96,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_1/20260518T145557_3f3dfd96/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_medoid_seed1_20260518T145557/aid_remoteclip_vit_b32_rs_cpc_seed1/20260518T145637/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,1,1,random_group_mean,30,1.0,0.822,0.0,5.066081913653761,789.564809289694,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_1/20260518T150001_c74a7cb8,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_1/20260518T150001_c74a7cb8/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_random_group_mean_seed1_20260518T150001/aid_remoteclip_vit_b32_rs_cpc_seed1/20260518T150021/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,1,1,mean,30,2.0,0.914,0.0,5.002360142767429,799.6225553218767,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=mean; metadata.prototype_init=mean; run_dir.prototype_init=mean; command.--prototype-init=mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_1/mean/seed_1/20260519T093509_62fe151e,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_1/mean/seed_1/20260519T093509_62fe151e/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot2_M1_mean_seed1_20260519T093509/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T093600/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,1,1,medoid,30,2.0,0.865,0.0,5.172491199336946,773.3217604145473,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_1/medoid/seed_1/20260519T093631_c77d63b8,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_1/medoid/seed_1/20260519T093631_c77d63b8/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot2_M1_medoid_seed1_20260519T093631/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T093652/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,1,1,random_group_mean,30,2.0,0.914,0.0,4.992615680210292,801.1832386488674,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_1/random_group_mean/seed_1/20260519T093718_d8f2eb5f,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_1/random_group_mean/seed_1/20260519T093718_d8f2eb5f/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot2_M1_random_group_mean_seed1_20260519T093718/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T093743/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,1,2,medoid,60,1.0,0.8765,0.0,7.372743705287576,542.5388647555027,,metrics.M=2; metadata.M=2; run_dir.M_x=2; command.--M=2; cache_entries/num_classes=2,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_2/medoid/seed_1/20260519T093817_a2f3745b,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_2/medoid/seed_1/20260519T093817_a2f3745b/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot2_M2_medoid_seed1_20260519T093817/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T093837/result_run_preflight_report.json
aid,2,2,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,1,2,random_group_mean,60,1.0,0.8765,0.0,7.4479472525417805,537.0607315505504,,metrics.M=2; metadata.M=2; run_dir.M_x=2; command.--M=2; cache_entries/num_classes=2,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_2/random_group_mean/seed_1/20260519T093907_1ec3ea90,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_2/M_2/random_group_mean/seed_1/20260519T093907_1ec3ea90/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot2_M2_random_group_mean_seed1_20260519T093907/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T093936/result_run_preflight_report.json
aid,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,1,1,mean,30,4.0,0.932,0.0,5.038114716298878,793.9477811133481,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=mean; metadata.prototype_init=mean; run_dir.prototype_init=mean; command.--prototype-init=mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_1/mean/seed_1/20260519T094005_d24c3d57,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_1/mean/seed_1/20260519T094005_d24c3d57/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot4_M1_mean_seed1_20260519T094005/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T094024/result_run_preflight_report.json
aid,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,1,1,medoid,30,4.0,0.8935,0.0,5.1271130898967385,780.1661344046072,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=medoid; metadata.prototype_init=medoid; run_dir.prototype_init=medoid; command.--prototype-init=medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_1/medoid/seed_1/20260519T094049_dcd5907e,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_1/medoid/seed_1/20260519T094049_dcd5907e/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot4_M1_medoid_seed1_20260519T094049/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T094104/result_run_preflight_report.json
aid,4,4,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,1,1,random_group_mean,30,4.0,0.932,0.0,4.993018985725939,801.11852397021,,metrics.M=1; metadata.M=1; run_dir.M_x=1; command.--M=1; cache_entries/num_classes=1,metrics.prototype_init=random_group_mean; metadata.prototype_init=random_group_mean; run_dir.prototype_init=random_group_mean; command.--prototype-init=random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_1/random_group_mean/seed_1/20260519T094135_f15b06f0,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_4/M_1/random_group_mean/seed_1/20260519T094135_f15b06f0/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot4_M1_random_group_mean_seed1_20260519T094135/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T094643/result_run_preflight_report.json
